instant,dteday,season,year,month,hour,holiday,weekday,workingday,weather situation,temp,atemp,humidity,windspeed,casual,registered,count_cr,time_of_day,windspeed_category
41,2011-01-02,Spring,2011,Jan,17.0,0,Sunday,0,Clear,0.34,0.3333,0.57,0.194,7,58,65,Sore,Angin Ringan
42,2011-01-02,Spring,2011,Jan,18.0,0,Sunday,0,Misty,0.36,0.3333,0.46,0.3284,10,43,53,Sore,Angin Sedang
43,2011-01-02,Spring,2011,Jan,19.0,0,Sunday,0,Clear,0.32,0.2879,0.42,0.4478,1,29,30,Malam,Angin Kencang
44,2011-01-02,Spring,2011,Jan,20.0,0,Sunday,0,Clear,0.3,0.2727,0.39,0.3582,5,17,22,Malam,Angin Kencang
45,2011-01-02,Spring,2011,Jan,21.0,0,Sunday,0,Clear,0.26,0.2273,0.44,0.3284,11,20,31,Malam,Angin Sedang
46,2011-01-02,Spring,2011,Jan,22.0,0,Sunday,0,Clear,0.24,0.2121,0.44,0.2985,0,9,9,Malam,Angin Sedang
47,2011-01-02,Spring,2011,Jan,23.0,0,Sunday,0,Clear,0.22,0.2273,0.47,0.1642,0,8,8,Malam,Angin Ringan
48,2011-01-03,Spring,2011,Jan,0.0,0,Monday,1,Clear,0.22,0.197,0.44,0.3582,0,5,5,Malam,Angin Kencang
49,2011-01-03,Spring,2011,Jan,1.0,0,Monday,1,Clear,0.2,0.1667,0.44,0.4179,0,2,2,Malam,Angin Kencang
50,2011-01-03,Spring,2011,Jan,4.0,0,Monday,1,Clear,0.16,0.1364,0.47,0.3881,0,1,1,Malam,Angin Kencang
51,2011-01-03,Spring,2011,Jan,5.0,0,Monday,1,Clear,0.16,0.1364,0.47,0.2836,0,3,3,Malam,Angin Sedang
52,2011-01-03,Spring,2011,Jan,6.0,0,Monday,1,Clear,0.14,0.1061,0.5,0.3881,0,30,30,Pagi,Angin Kencang
53,2011-01-03,Spring,2011,Jan,7.0,0,Monday,1,Clear,0.14,0.1364,0.5,0.194,1,63,64,Pagi,Angin Ringan
54,2011-01-03,Spring,2011,Jan,8.0,0,Monday,1,Clear,0.14,0.1212,0.5,0.2836,1,153,154,Pagi,Angin Sedang
55,2011-01-03,Spring,2011,Jan,9.0,0,Monday,1,Clear,0.16,0.1364,0.43,0.3881,7,81,88,Pagi,Angin Kencang
56,2011-01-03,Spring,2011,Jan,10.0,0,Monday,1,Clear,0.18,0.1667,0.43,0.2537,11,33,44,Pagi,Angin Sedang
57,2011-01-03,Spring,2011,Jan,11.0,0,Monday,1,Clear,0.2,0.1818,0.4,0.3284,10,41,51,Pagi,Angin Sedang
58,2011-01-03,Spring,2011,Jan,12.0,0,Monday,1,Clear,0.22,0.2121,0.35,0.2985,13,48,61,Siang,Angin Sedang
59,2011-01-03,Spring,2011,Jan,13.0,0,Monday,1,Clear,0.24,0.2121,0.35,0.2836,8,53,61,Siang,Angin Sedang
60,2011-01-03,Spring,2011,Jan,14.0,0,Monday,1,Clear,0.26,0.2424,0.3,0.2836,11,66,77,Siang,Angin Sedang
61,2011-01-03,Spring,2011,Jan,15.0,0,Monday,1,Clear,0.26,0.2424,0.3,0.2537,14,58,72,Siang,Angin Sedang
62,2011-01-03,Spring,2011,Jan,16.0,0,Monday,1,Clear,0.26,0.2424,0.3,0.2537,9,67,76,Sore,Angin Sedang
63,2011-01-03,Spring,2011,Jan,17.0,0,Monday,1,Clear,0.24,0.2273,0.3,0.2239,11,146,157,Sore,Angin Sedang
64,2011-01-03,Spring,2011,Jan,18.0,0,Monday,1,Clear,0.24,0.2576,0.32,0.1045,9,148,157,Sore,Angin Ringan
65,2011-01-03,Spring,2011,Jan,19.0,0,Monday,1,Clear,0.2,0.2576,0.47,0.0,8,102,110,Malam,Angin Ringan
66,2011-01-03,Spring,2011,Jan,20.0,0,Monday,1,Clear,0.2,0.2273,0.47,0.1045,3,49,52,Malam,Angin Ringan
67,2011-01-03,Spring,2011,Jan,21.0,0,Monday,1,Clear,0.18,0.197,0.64,0.1343,3,49,52,Malam,Angin Ringan
68,2011-01-03,Spring,2011,Jan,22.0,0,Monday,1,Clear,0.14,0.1515,0.69,0.1343,0,20,20,Malam,Angin Ringan
69,2011-01-03,Spring,2011,Jan,23.0,0,Monday,1,Clear,0.18,0.2121,0.55,0.1045,1,11,12,Malam,Angin Ringan
70,2011-01-04,Spring,2011,Jan,0.0,0,Tuesday,1,Clear,0.16,0.1818,0.55,0.1045,0,5,5,Malam,Angin Ringan
71,2011-01-04,Spring,2011,Jan,1.0,0,Tuesday,1,Clear,0.16,0.1818,0.59,0.1045,0,2,2,Malam,Angin Ringan
72,2011-01-04,Spring,2011,Jan,2.0,0,Tuesday,1,Clear,0.14,0.1515,0.63,0.1343,0,1,1,Malam,Angin Ringan
73,2011-01-04,Spring,2011,Jan,4.0,0,Tuesday,1,Clear,0.14,0.1818,0.63,0.0896,0,2,2,Malam,Angin Ringan
74,2011-01-04,Spring,2011,Jan,5.0,0,Tuesday,1,Clear,0.12,0.1515,0.68,0.1045,0,4,4,Malam,Angin Ringan
75,2011-01-04,Spring,2011,Jan,6.0,0,Tuesday,1,Clear,0.12,0.1515,0.74,0.1045,0,36,36,Pagi,Angin Ringan
76,2011-01-04,Spring,2011,Jan,7.0,0,Tuesday,1,Clear,0.12,0.1515,0.74,0.1343,2,92,94,Pagi,Angin Ringan
77,2011-01-04,Spring,2011,Jan,8.0,0,Tuesday,1,Clear,0.14,0.1515,0.69,0.1642,2,177,179,Pagi,Angin Ringan
78,2011-01-04,Spring,2011,Jan,9.0,0,Tuesday,1,Clear,0.16,0.1515,0.64,0.2239,2,98,100,Pagi,Angin Sedang
79,2011-01-04,Spring,2011,Jan,10.0,0,Tuesday,1,Misty,0.16,0.1364,0.69,0.3284,5,37,42,Pagi,Angin Sedang
80,2011-01-04,Spring,2011,Jan,11.0,0,Tuesday,1,Clear,0.22,0.2121,0.51,0.2985,7,50,57,Pagi,Angin Sedang
81,2011-01-04,Spring,2011,Jan,12.0,0,Tuesday,1,Clear,0.22,0.2273,0.51,0.1642,12,66,78,Siang,Angin Ringan
82,2011-01-04,Spring,2011,Jan,13.0,0,Tuesday,1,Clear,0.24,0.2273,0.56,0.194,18,79,97,Siang,Angin Ringan
83,2011-01-04,Spring,2011,Jan,14.0,0,Tuesday,1,Clear,0.26,0.2576,0.52,0.2239,9,54,63,Siang,Angin Sedang
84,2011-01-04,Spring,2011,Jan,15.0,0,Tuesday,1,Clear,0.28,0.2727,0.52,0.2537,17,48,65,Siang,Angin Sedang
85,2011-01-04,Spring,2011,Jan,16.0,0,Tuesday,1,Clear,0.3,0.2879,0.49,0.2537,15,68,83,Sore,Angin Sedang
86,2011-01-04,Spring,2011,Jan,17.0,0,Tuesday,1,Clear,0.28,0.2727,0.48,0.2239,10,202,212,Sore,Angin Sedang
87,2011-01-04,Spring,2011,Jan,18.0,0,Tuesday,1,Clear,0.26,0.2576,0.48,0.194,3,179,182,Sore,Angin Ringan
88,2011-01-04,Spring,2011,Jan,19.0,0,Tuesday,1,Clear,0.24,0.2576,0.48,0.1045,2,110,112,Malam,Angin Ringan
89,2011-01-04,Spring,2011,Jan,20.0,0,Tuesday,1,Clear,0.24,0.2576,0.48,0.1045,1,53,54,Malam,Angin Ringan
90,2011-01-04,Spring,2011,Jan,21.0,0,Tuesday,1,Clear,0.22,0.2727,0.64,0.0,0,48,48,Malam,Angin Ringan
91,2011-01-04,Spring,2011,Jan,22.0,0,Tuesday,1,Clear,0.22,0.2576,0.64,0.0896,1,34,35,Malam,Angin Ringan
92,2011-01-04,Spring,2011,Jan,23.0,0,Tuesday,1,Clear,0.2,0.2273,0.69,0.0896,2,9,11,Malam,Angin Ringan
93,2011-01-05,Spring,2011,Jan,0.0,0,Wednesday,1,Clear,0.2,0.2576,0.64,0.0,0,6,6,Malam,Angin Ringan
94,2011-01-05,Spring,2011,Jan,1.0,0,Wednesday,1,Clear,0.16,0.197,0.74,0.0896,0,6,6,Malam,Angin Ringan
95,2011-01-05,Spring,2011,Jan,2.0,0,Wednesday,1,Clear,0.16,0.197,0.74,0.0896,0,2,2,Malam,Angin Ringan
96,2011-01-05,Spring,2011,Jan,4.0,0,Wednesday,1,Clear,0.24,0.2273,0.48,0.2239,0,2,2,Malam,Angin Sedang
97,2011-01-05,Spring,2011,Jan,5.0,0,Wednesday,1,Clear,0.22,0.2273,0.47,0.1642,0,3,3,Malam,Angin Ringan
98,2011-01-05,Spring,2011,Jan,6.0,0,Wednesday,1,Clear,0.2,0.197,0.47,0.2239,0,33,33,Pagi,Angin Sedang
99,2011-01-05,Spring,2011,Jan,7.0,0,Wednesday,1,Clear,0.18,0.1818,0.43,0.194,1,87,88,Pagi,Angin Ringan
100,2011-01-05,Spring,2011,Jan,8.0,0,Wednesday,1,Clear,0.2,0.1818,0.4,0.2985,3,192,195,Pagi,Angin Sedang
101,2011-01-05,Spring,2011,Jan,9.0,0,Wednesday,1,Clear,0.22,0.197,0.37,0.3284,6,109,115,Pagi,Angin Sedang
102,2011-01-05,Spring,2011,Jan,10.0,0,Wednesday,1,Clear,0.22,0.197,0.37,0.3284,4,53,57,Pagi,Angin Sedang
103,2011-01-05,Spring,2011,Jan,11.0,0,Wednesday,1,Clear,0.26,0.2273,0.33,0.3284,12,34,46,Pagi,Angin Sedang
104,2011-01-05,Spring,2011,Jan,12.0,0,Wednesday,1,Clear,0.26,0.2273,0.33,0.3284,5,74,79,Siang,Angin Sedang
105,2011-01-05,Spring,2011,Jan,13.0,0,Wednesday,1,Clear,0.28,0.2576,0.3,0.2985,6,65,71,Siang,Angin Sedang
106,2011-01-05,Spring,2011,Jan,14.0,0,Wednesday,1,Clear,0.3,0.2879,0.28,0.194,10,52,62,Siang,Angin Ringan
107,2011-01-05,Spring,2011,Jan,15.0,0,Wednesday,1,Clear,0.3,0.2879,0.28,0.194,7,55,62,Siang,Angin Ringan
108,2011-01-05,Spring,2011,Jan,16.0,0,Wednesday,1,Clear,0.3,0.3182,0.28,0.0896,4,85,89,Sore,Angin Ringan
109,2011-01-05,Spring,2011,Jan,17.0,0,Wednesday,1,Clear,0.24,0.2273,0.38,0.194,4,186,190,Sore,Angin Ringan
110,2011-01-05,Spring,2011,Jan,18.0,0,Wednesday,1,Clear,0.24,0.2424,0.38,0.1343,3,166,169,Sore,Angin Ringan
111,2011-01-05,Spring,2011,Jan,19.0,0,Wednesday,1,Clear,0.24,0.2576,0.38,0.1045,5,127,132,Malam,Angin Ringan
112,2011-01-05,Spring,2011,Jan,20.0,0,Wednesday,1,Clear,0.22,0.2273,0.47,0.1642,7,82,89,Malam,Angin Ringan
113,2011-01-05,Spring,2011,Jan,21.0,0,Wednesday,1,Clear,0.2,0.197,0.51,0.194,3,40,43,Malam,Angin Ringan
114,2011-01-05,Spring,2011,Jan,22.0,0,Wednesday,1,Clear,0.18,0.197,0.55,0.1343,1,41,42,Malam,Angin Ringan
115,2011-01-05,Spring,2011,Jan,23.0,0,Wednesday,1,Clear,0.2,0.2576,0.47,0.0,1,18,19,Malam,Angin Ringan
116,2011-01-06,Spring,2011,Jan,0.0,0,Thursday,1,Clear,0.18,0.2424,0.55,0.0,0,11,11,Malam,Angin Ringan
117,2011-01-06,Spring,2011,Jan,1.0,0,Thursday,1,Clear,0.16,0.2273,0.64,0.0,0,4,4,Malam,Angin Ringan
118,2011-01-06,Spring,2011,Jan,2.0,0,Thursday,1,Clear,0.16,0.2273,0.64,0.0,0,2,2,Malam,Angin Ringan
119,2011-01-06,Spring,2011,Jan,4.0,0,Thursday,1,Misty,0.16,0.197,0.64,0.0896,0,1,1,Malam,Angin Ringan
120,2011-01-06,Spring,2011,Jan,5.0,0,Thursday,1,Misty,0.14,0.1818,0.69,0.0896,0,4,4,Malam,Angin Ringan
121,2011-01-06,Spring,2011,Jan,6.0,0,Thursday,1,Misty,0.14,0.1667,0.63,0.1045,0,36,36,Pagi,Angin Ringan
122,2011-01-06,Spring,2011,Jan,7.0,0,Thursday,1,Misty,0.16,0.2273,0.59,0.0,0,95,95,Pagi,Angin Ringan
123,2011-01-06,Spring,2011,Jan,8.0,0,Thursday,1,Clear,0.16,0.2273,0.59,0.0,3,216,219,Pagi,Angin Ringan
124,2011-01-06,Spring,2011,Jan,9.0,0,Thursday,1,Misty,0.18,0.2424,0.51,0.0,6,116,122,Pagi,Angin Ringan
125,2011-01-06,Spring,2011,Jan,10.0,0,Thursday,1,Clear,0.2,0.2576,0.47,0.0,3,42,45,Pagi,Angin Ringan
126,2011-01-06,Spring,2011,Jan,11.0,0,Thursday,1,Clear,0.22,0.2576,0.44,0.0896,2,57,59,Pagi,Angin Ringan
127,2011-01-06,Spring,2011,Jan,12.0,0,Thursday,1,Clear,0.26,0.2879,0.35,0.0,6,78,84,Siang,Angin Ringan
128,2011-01-06,Spring,2011,Jan,13.0,0,Thursday,1,Clear,0.26,0.2727,0.35,0.1045,12,55,67,Siang,Angin Ringan
129,2011-01-06,Spring,2011,Jan,14.0,0,Thursday,1,Clear,0.28,0.2727,0.36,0.1642,11,59,70,Siang,Angin Ringan
130,2011-01-06,Spring,2011,Jan,15.0,0,Thursday,1,Clear,0.28,0.2727,0.36,0.0,8,54,62,Siang,Angin Ringan
131,2011-01-06,Spring,2011,Jan,16.0,0,Thursday,1,Clear,0.26,0.2576,0.38,0.1642,12,74,86,Sore,Angin Ringan
132,2011-01-06,Spring,2011,Jan,17.0,0,Thursday,1,Clear,0.22,0.2273,0.51,0.1642,9,163,172,Sore,Angin Ringan
133,2011-01-06,Spring,2011,Jan,18.0,0,Thursday,1,Clear,0.22,0.2273,0.51,0.1343,5,158,163,Sore,Angin Ringan
134,2011-01-06,Spring,2011,Jan,19.0,0,Thursday,1,Clear,0.22,0.2576,0.55,0.0896,3,109,112,Malam,Angin Ringan
135,2011-01-06,Spring,2011,Jan,20.0,0,Thursday,1,Clear,0.2,0.2121,0.51,0.1642,3,66,69,Malam,Angin Ringan
136,2011-01-06,Spring,2011,Jan,21.0,0,Thursday,1,Misty,0.22,0.2121,0.55,0.2239,0,48,48,Malam,Angin Sedang
137,2011-01-06,Spring,2011,Jan,22.0,0,Thursday,1,Misty,0.22,0.2121,0.51,0.2836,1,51,52,Malam,Angin Sedang
138,2011-01-06,Spring,2011,Jan,23.0,0,Thursday,1,Misty,0.2,0.197,0.59,0.194,4,19,23,Malam,Angin Ringan
139,2011-01-07,Spring,2011,Jan,0.0,0,Friday,1,Misty,0.2,0.197,0.64,0.194,4,13,17,Malam,Angin Ringan
140,2011-01-07,Spring,2011,Jan,1.0,0,Friday,1,Misty,0.2,0.197,0.69,0.2239,2,5,7,Malam,Angin Sedang
141,2011-01-07,Spring,2011,Jan,2.0,0,Friday,1,Misty,0.2,0.197,0.69,0.2239,0,1,1,Malam,Angin Sedang
142,2011-01-07,Spring,2011,Jan,4.0,0,Friday,1,Misty,0.2,0.2121,0.69,0.1343,0,1,1,Malam,Angin Ringan
143,2011-01-07,Spring,2011,Jan,5.0,0,Friday,1,Light_rainsnow,0.22,0.2727,0.55,0.0,0,5,5,Malam,Angin Ringan
144,2011-01-07,Spring,2011,Jan,6.0,0,Friday,1,Misty,0.2,0.2576,0.69,0.0,8,26,34,Pagi,Angin Ringan
145,2011-01-07,Spring,2011,Jan,7.0,0,Friday,1,Clear,0.2,0.2121,0.69,0.1343,8,76,84,Pagi,Angin Ringan
146,2011-01-07,Spring,2011,Jan,8.0,0,Friday,1,Clear,0.2,0.197,0.51,0.2537,20,190,210,Pagi,Angin Sedang
147,2011-01-07,Spring,2011,Jan,9.0,0,Friday,1,Clear,0.2,0.1818,0.47,0.2985,9,125,134,Pagi,Angin Sedang
148,2011-01-07,Spring,2011,Jan,10.0,0,Friday,1,Clear,0.22,0.197,0.37,0.3284,16,47,63,Pagi,Angin Sedang
149,2011-01-07,Spring,2011,Jan,11.0,0,Friday,1,Misty,0.2,0.197,0.4,0.2239,19,48,67,Pagi,Angin Sedang
150,2011-01-07,Spring,2011,Jan,12.0,0,Friday,1,Misty,0.2,0.197,0.37,0.2537,9,50,59,Siang,Angin Sedang
151,2011-01-07,Spring,2011,Jan,13.0,0,Friday,1,Misty,0.2,0.1818,0.37,0.2836,9,64,73,Siang,Angin Sedang
152,2011-01-07,Spring,2011,Jan,14.0,0,Friday,1,Misty,0.2,0.197,0.4,0.2537,7,43,50,Siang,Angin Sedang
153,2011-01-07,Spring,2011,Jan,15.0,0,Friday,1,Misty,0.2,0.2121,0.37,0.1642,9,63,72,Siang,Angin Ringan
154,2011-01-07,Spring,2011,Jan,16.0,0,Friday,1,Misty,0.2,0.2121,0.37,0.1642,5,82,87,Sore,Angin Ringan
155,2011-01-07,Spring,2011,Jan,17.0,0,Friday,1,Misty,0.2,0.2576,0.37,0.0,9,178,187,Sore,Angin Ringan
156,2011-01-07,Spring,2011,Jan,18.0,0,Friday,1,Clear,0.2,0.2273,0.4,0.0896,7,116,123,Sore,Angin Ringan
157,2011-01-07,Spring,2011,Jan,19.0,0,Friday,1,Clear,0.16,0.197,0.55,0.0896,3,92,95,Malam,Angin Ringan
158,2011-01-07,Spring,2011,Jan,20.0,0,Friday,1,Clear,0.18,0.2121,0.47,0.1045,1,50,51,Malam,Angin Ringan
159,2011-01-07,Spring,2011,Jan,21.0,0,Friday,1,Clear,0.18,0.197,0.47,0.1343,0,39,39,Malam,Angin Ringan
160,2011-01-07,Spring,2011,Jan,22.0,0,Friday,1,Misty,0.18,0.197,0.43,0.1642,2,34,36,Malam,Angin Ringan
161,2011-01-07,Spring,2011,Jan,23.0,0,Friday,1,Misty,0.18,0.197,0.51,0.1642,1,14,15,Malam,Angin Ringan
162,2011-01-08,Spring,2011,Jan,0.0,0,Saturday,0,Misty,0.18,0.197,0.51,0.1642,1,24,25,Malam,Angin Ringan
163,2011-01-08,Spring,2011,Jan,1.0,0,Saturday,0,Misty,0.18,0.2121,0.55,0.0896,1,15,16,Malam,Angin Ringan
164,2011-01-08,Spring,2011,Jan,2.0,0,Saturday,0,Misty,0.18,0.2424,0.55,0.0,3,13,16,Malam,Angin Ringan
165,2011-01-08,Spring,2011,Jan,3.0,0,Saturday,0,Light_rainsnow,0.18,0.197,0.55,0.1642,0,7,7,Malam,Angin Ringan
166,2011-01-08,Spring,2011,Jan,4.0,0,Saturday,0,Light_rainsnow,0.18,0.197,0.55,0.1642,0,1,1,Malam,Angin Ringan
167,2011-01-08,Spring,2011,Jan,5.0,0,Saturday,0,Misty,0.16,0.1667,0.74,0.1642,0,5,5,Malam,Angin Ringan
168,2011-01-08,Spring,2011,Jan,6.0,0,Saturday,0,Misty,0.16,0.1667,0.74,0.1642,0,2,2,Pagi,Angin Ringan
169,2011-01-08,Spring,2011,Jan,7.0,0,Saturday,0,Misty,0.16,0.1818,0.74,0.1045,1,8,9,Pagi,Angin Ringan
170,2011-01-08,Spring,2011,Jan,8.0,0,Saturday,0,Light_rainsnow,0.16,0.1818,0.93,0.1045,0,15,15,Pagi,Angin Ringan
171,2011-01-08,Spring,2011,Jan,9.0,0,Saturday,0,Light_rainsnow,0.16,0.1818,0.93,0.1045,0,20,20,Pagi,Angin Ringan
172,2011-01-08,Spring,2011,Jan,10.0,0,Saturday,0,Misty,0.18,0.197,0.8,0.1642,5,56,61,Pagi,Angin Ringan
173,2011-01-08,Spring,2011,Jan,11.0,0,Saturday,0,Misty,0.2,0.1818,0.69,0.3881,2,60,62,Pagi,Angin Kencang
174,2011-01-08,Spring,2011,Jan,12.0,0,Saturday,0,Misty,0.2,0.1818,0.59,0.3582,8,90,98,Siang,Angin Kencang
175,2011-01-08,Spring,2011,Jan,13.0,0,Saturday,0,Clear,0.2,0.1818,0.44,0.3284,7,95,102,Siang,Angin Sedang
176,2011-01-08,Spring,2011,Jan,14.0,0,Saturday,0,Clear,0.2,0.1667,0.32,0.4925,12,83,95,Siang,Angin Kencang
177,2011-01-08,Spring,2011,Jan,15.0,0,Saturday,0,Clear,0.2,0.1667,0.32,0.4478,5,69,74,Siang,Angin Kencang
178,2011-01-08,Spring,2011,Jan,16.0,0,Saturday,0,Clear,0.18,0.1364,0.29,0.4478,8,68,76,Sore,Angin Kencang
179,2011-01-08,Spring,2011,Jan,17.0,0,Saturday,0,Clear,0.16,0.1212,0.37,0.5522,5,64,69,Sore,Angin Kencang
180,2011-01-08,Spring,2011,Jan,18.0,0,Saturday,0,Clear,0.14,0.1212,0.39,0.2985,3,52,55,Sore,Angin Sedang
181,2011-01-08,Spring,2011,Jan,19.0,0,Saturday,0,Clear,0.14,0.1212,0.36,0.2537,4,26,30,Malam,Angin Sedang
182,2011-01-08,Spring,2011,Jan,20.0,0,Saturday,0,Clear,0.12,0.1212,0.36,0.2537,0,28,28,Malam,Angin Sedang
183,2011-01-08,Spring,2011,Jan,21.0,0,Saturday,0,Clear,0.12,0.1061,0.39,0.3582,2,35,37,Malam,Angin Kencang
184,2011-01-08,Spring,2011,Jan,22.0,0,Saturday,0,Clear,0.12,0.1061,0.36,0.3881,1,33,34,Malam,Angin Kencang
185,2011-01-08,Spring,2011,Jan,23.0,0,Saturday,0,Clear,0.1,0.0606,0.39,0.4478,0,22,22,Malam,Angin Kencang
186,2011-01-09,Spring,2011,Jan,0.0,0,Sunday,0,Clear,0.1,0.0758,0.42,0.3881,1,24,25,Malam,Angin Kencang
187,2011-01-09,Spring,2011,Jan,1.0,0,Sunday,0,Clear,0.1,0.0606,0.42,0.4627,0,12,12,Malam,Angin Kencang
188,2011-01-09,Spring,2011,Jan,2.0,0,Sunday,0,Clear,0.1,0.0606,0.46,0.4627,0,11,11,Malam,Angin Kencang
189,2011-01-09,Spring,2011,Jan,3.0,0,Sunday,0,Clear,0.1,0.0758,0.46,0.4179,0,4,4,Malam,Angin Kencang
